Voltage V	Current I	Current I
(V)	(A)	(A)
2.01721	0.00999997	0.00999997
2.01682	0.00999994	0.00999994
2.01636	0.00999997	0.00999997
2.01592	0.00999996	0.00999996
2.01566	0.00999999	0.00999999
2.01526	0.00999997	0.00999997
2.01476	0.00999997	0.00999997
2.01429	0.00999996	0.00999996
2.01399	0.00999995	0.00999995
2.01368	0.00999996	0.00999996
2.01327	0.00999997	0.00999997
2.01299	0.00999996	0.00999996
2.0124	0.00999996	0.00999996
2.01223	0.00999997	0.00999997
2.01199	0.00999994	0.00999994
2.0114	0.00999995	0.00999995
2.01111	0.00999997	0.00999997
2.01082	0.00999997	0.00999997
2.01021	0.00999998	0.00999998
2.01002	0.00999997	0.00999997
2.00932	0.00999997	0.00999997
2.00901	0.00999997	0.00999997
2.00875	0.00999997	0.00999997
2.00846	0.00999994	0.00999994
2.00783	0.00999996	0.00999996
2.00741	0.00999993	0.00999993
2.00703	0.00999995	0.00999995
2.0067	0.00999995	0.00999995
2.00641	0.00999993	0.00999993
2.00609	0.00999994	0.00999994
2.00546	0.00999993	0.00999993
2.00513	0.00999993	0.00999993
1.99968	0.00995075	0.00995075
1.97952	0.00976294	0.00976294
1.95963	0.00957169	0.00957169
1.93945	0.00937609	0.00937609
1.91956	0.00918482	0.00918482
1.89972	0.00899288	0.00899288
1.87952	0.00879885	0.00879885
1.85967	0.00860759	0.00860759
1.83948	0.0084157	0.0084157
1.8196	0.00822898	0.00822898
1.79965	0.00803916	0.00803916
1.77949	0.00784908	0.00784908
1.75963	0.00766305	0.00766305
1.73941	0.00747556	0.00747556
1.71953	0.00729298	0.00729298
1.69967	0.00711132	0.00711132
1.67946	0.00692744	0.00692744
1.65961	0.0067477	0.0067477
1.63942	0.00656738	0.00656738
1.61957	0.00639024	0.00639024
1.59966	0.00621405	0.00621405
1.57948	0.00603738	0.00603738
1.5596	0.0058644	0.0058644
1.53941	0.00568985	0.00568985
1.51951	0.00552033	0.00552033
1.49964	0.00535158	0.00535158
1.47941	0.0051817	0.0051817
1.45955	0.00501645	0.00501645
1.43934	0.00485007	0.00485007
1.41947	0.00468722	0.00468722
1.39959	0.00452732	0.00452732
1.37934	0.00436593	0.00436593
1.35947	0.00420931	0.00420931
1.33934	0.00405171	0.00405171
1.31944	0.00389915	0.00389915
1.29959	0.00374829	0.00374829
1.27938	0.00359755	0.00359755
1.25951	0.0034506	0.0034506
1.23931	0.00330424	0.00330424
1.21941	0.00316152	0.00316152
1.19957	0.00301928	0.00301928
1.17934	0.00287938	0.00287938
1.15947	0.00274408	0.00274408
1.1393	0.00260991	0.00260991
1.11942	0.00248013	0.00248013
1.09952	0.00235313	0.00235313
1.07937	0.00222664	0.00222664
1.05948	0.00210494	0.00210494
1.03929	0.00198446	0.00198446
1.01941	0.00186898	0.00186898
0.999551	0.00175615	0.00175615
0.979354	0.00164471	0.00164471
0.959489	0.00153881	0.00153881
0.939281	0.00143444	0.00143444
0.919406	0.00133484	0.00133484
0.89951	0.00123878	0.00123878
0.87934	0.00114472	0.00114472
0.859451	0.00105536	0.00105536
0.839233	9.63488E-4	9.63488E-4
0.819411	8.828E-4	8.828E-4
0.799451	8.05282E-4	8.05282E-4
0.779293	7.30318E-4	7.30318E-4
0.759432	6.60364E-4	6.60364E-4
0.739222	5.92962E-4	5.92962E-4
0.719366	5.30942E-4	5.30942E-4
0.699463	4.72913E-4	4.72913E-4
0.679286	4.18198E-4	4.18198E-4
0.659411	3.6811E-4	3.6811E-4
0.639217	3.21234E-4	3.21234E-4
0.619369	2.78871E-4	2.78871E-4
0.599511	2.40611E-4	2.40611E-4
0.579302	2.05475E-4	2.05475E-4
0.559418	1.74548E-4	1.74548E-4
0.53925	1.46558E-4	1.46558E-4
0.519369	1.22493E-4	1.22493E-4
0.499487	1.01526E-4	1.01526E-4
0.479228	8.15099E-5	8.15099E-5
0.459354	6.67397E-5	6.67397E-5
0.439155	5.33223E-5	5.33223E-5
0.419314	4.26248E-5	4.26248E-5
0.399415	3.39029E-5	3.39029E-5
0.379229	2.66479E-5	2.66479E-5
0.359337	2.07923E-5	2.07923E-5
0.339174	1.59884E-5	1.59884E-5
0.319312	1.22081E-5	1.22081E-5
0.299356	8.8756E-6	8.8756E-6
0.279253	6.69559E-6	6.69559E-6
0.259356	4.98172E-6	4.98172E-6
0.239153	3.65666E-6	3.65666E-6
0.219269	2.66134E-6	2.66134E-6
0.199394	1.91728E-6	1.91728E-6
0.179214	1.35759E-6	1.35759E-6
0.159233	8.99448E-7	8.99448E-7
0.139103	6.26168E-7	6.26168E-7
0.1192	4.3119E-7	4.3119E-7
0.0993609	2.90167E-7	2.90167E-7
0.0790977	1.88222E-7	1.88222E-7
0.0592756	1.17212E-7	1.17212E-7
0.0390744	5.49724E-8	5.49724E-8
0.0192237	3.11829E-8	3.11829E-8
-6.31809E-4	5.79286E-9	5.79286E-9
-0.0200462	-9.35285E-9	9.35285E-9
-0.0399733	-3.5139E-8	3.5139E-8
-0.0601792	-5.49173E-8	5.49173E-8
-0.0800776	-7.37309E-8	7.37309E-8
-0.100272	-9.35622E-8	9.35622E-8
-0.12023	-1.15776E-7	1.15776E-7
-0.140064	-1.2396E-7	1.2396E-7
-0.16032	-1.43341E-7	1.43341E-7
-0.180154	-1.61296E-7	1.61296E-7
-0.200348	-1.81558E-7	1.81558E-7
-0.220251	-1.99777E-7	1.99777E-7
-0.240095	-2.18498E-7	2.18498E-7
-0.260308	-2.39544E-7	2.39544E-7
-0.280178	-2.60963E-7	2.60963E-7
-0.300372	-2.85893E-7	2.85893E-7
-0.320239	-3.10749E-7	3.10749E-7
-0.34013	-3.39181E-7	3.39181E-7
-0.360274	-3.72845E-7	3.72845E-7
-0.380149	-4.06751E-7	4.06751E-7
-0.400338	-4.44497E-7	4.44497E-7
-0.420227	-4.844E-7	4.844E-7
-0.440049	-5.32993E-7	5.32993E-7
-0.460262	-5.86964E-7	5.86964E-7
-0.480123	-6.41343E-7	6.41343E-7
-0.500371	-7.04165E-7	7.04165E-7
-0.520239	-7.73063E-7	7.73063E-7
-0.540133	-8.52685E-7	8.52685E-7
-0.560308	-9.41761E-7	9.41761E-7
-0.580246	-9.59669E-7	9.59669E-7
-0.600417	-1.06381E-6	1.06381E-6
-0.620294	-1.17258E-6	1.17258E-6
-0.640152	-1.28585E-6	1.28585E-6
-0.660329	-1.41307E-6	1.41307E-6
-0.680208	-1.5488E-6	1.5488E-6
-0.700424	-1.69931E-6	1.69931E-6
-0.720258	-1.85257E-6	1.85257E-6
-0.740166	-2.02041E-6	2.02041E-6
-0.760348	-2.21044E-6	2.21044E-6
-0.780241	-2.40294E-6	2.40294E-6
-0.800426	-2.61517E-6	2.61517E-6
-0.820324	-2.84048E-6	2.84048E-6
-0.840168	-3.07863E-6	3.07863E-6
-0.8604	-3.34191E-6	3.34191E-6
-0.88026	-3.60796E-6	3.60796E-6
-0.900462	-3.90578E-6	3.90578E-6
-0.920308	-4.21275E-6	4.21275E-6
-0.940216	-4.52391E-6	4.52391E-6
-0.960391	-4.90191E-6	4.90191E-6
-0.980246	-5.26465E-6	5.26465E-6
-1.00046	-5.65494E-6	5.65494E-6
